,,客   運   人   數  (人 次)   Passengers Carried  (Passenger),,,,,延      人      公      里  (人 公 里)     Passenger-Kilometers  (Passenger-Km),,,,
年    月    別,,總       計,自  強  號,莒  光  號,區 間 列 車,普  通  車,總       計,自  強  號,莒  光  號,區 間 列 車,普  通  車
Year  &  Month,,,,,,,,,,,
,,Grand  Total,Tze-Chiang,Chu-Kuang,Local  Train,Ordinary  Train,Grand  Total,Tze-Chiang,Chu-Kuang,Local  Train,Ordinary  Train
            9     月 ,Sep.,"11,511,313 ","1,818,460 ","198,372 ","9,494,429 ",52 ,"520,846,531 ","249,609,668 ","21,404,227 ","249,830,576 ","2,060 "
,,,,,,,,,,,
            10     月 ,Oct.,"14,784,404 ","2,353,848 ","278,603 ","12,131,811 ","20,142 ","689,444,342 ","322,156,954 ","30,225,695 ","335,087,225 ","1,974,468 "
            11     月 ,Nov.,"15,696,105 ","2,409,194 ","281,518 ","13,005,286 ",107 ,"717,096,082 ","331,414,932 ","30,280,253 ","355,392,998 ","7,899 "
            12     月 ,Dec.,"17,381,752 ","2,648,172 ","319,891 ","14,398,014 ","15,675 ","796,219,043 ","364,206,371 ","35,128,359 ","395,254,285 ","1,630,028 "
民 國 111 年,2022,"170,254,450 ","28,462,859 ","2,073,957 ","139,663,732 ","53,902 ","7,967,819,812 ","3,941,310,636 ","234,070,181 ","3,786,907,433 ","5,531,562 "
,,,,,,,,,,,
            1     月 ,Jan.,"13,847,853 ","2,241,386 ","223,276 ","11,383,001 ",190 ,"639,959,990 ","313,448,015 ","24,966,895 ","301,531,888 ","13,192 "
            2     月 ,Feb.,"12,613,028 ","2,210,733 ","235,281 ","10,166,594 ",420 ,"621,034,729 ","315,080,798 ","27,182,781 ","278,724,784 ","46,366 "
            3     月 ,Mar.,"16,141,256 ","2,441,613 ","248,281 ","13,450,558 ",804 ,"723,046,040 ","339,047,334 ","27,445,104 ","356,416,262 ","137,340 "
,,,,,,,,,,,
            4     月 ,Apr.,"13,162,348 ","2,122,776 ","228,658 ","10,780,780 ","30,134 ","624,278,940 ","304,130,136 ","26,598,924 ","290,597,369 ","2,952,511 "
            5     月 ,May,"9,330,717 ","1,355,582 ","135,694 ","7,839,389 ",52 ,"408,785,550 ","187,071,181 ","14,169,446 ","207,537,283 ","7,640 "
            6     月 ,June,"10,548,931 ","1,743,292 ","163,110 ","8,642,481 ",48 ,"493,255,103 ","245,159,577 ","17,300,480 ","230,787,907 ","7,139 "
,,,,,,,,,,,
            7     月 ,July,"13,857,341 ","2,713,830 ","141,315 ","11,002,163 ",33 ,"706,597,359 ","387,949,285 ","16,696,180 ","301,947,128 ","4,766 "
            8     月 ,Aug.,"15,253,461 ","2,939,139 ","152,801 ","12,161,435 ",86 ,"782,044,547 ","428,770,504 ","18,734,858 ","334,524,492 ","14,693 "
            9     月 ,Sep.,"14,895,604 ","2,533,037 ","141,763 ","12,200,792 ","20,012 ","707,297,006 ","352,727,283 ","16,751,290 ","335,852,417 ","1,966,016 "
,,,,,,,,,,,
            10     月 ,Oct.,"16,012,935 ","2,643,695 ","145,818 ","13,221,886 ","1,536 ","732,903,097 ","348,719,623 ","16,221,417 ","367,740,519 ","221,538 "
            11     月 ,Nov.,"16,815,460 ","2,622,135 ","123,748 ","14,069,286 ",291 ,"736,071,051 ","341,104,880 ","14,100,885 ","380,794,690 ","70,596 "
            12     月 ,Dec.,"17,775,516 ","2,895,641 ","134,212 ","14,745,367 ",296 ,"792,546,400 ","378,102,020 ","13,901,921 ","400,452,694 ","89,765 "
